id,latitude,longitude,postcode,description
1516325,51.542534000000000,-2.571012000000000,BS32 4SY,
1516326,51.542671239838200,-2.572051000000000,BS32 4TD,
1516327,51.543339874407600,-2.571512814535910,BS32 4TE,
1516328,51.542044446058700,-2.580797215617010,BS32 4TF,
1516330,51.540636524876300,-2.569027681930380,BS32 4TN,Travellers Rest
1516331,51.540615603286200,-2.569633024569220,BS32 4TP,
1516425,51.541737868685000,-2.572011000000000,BS32 4TR,
1516426,51.541950952986400,-2.568683594135120,BS32 4TS,
1516427,51.542280190407600,-2.569394263279720,BS32 4TT,
1516428,51.541382000000000,-2.569383000000000,BS32 4TU,
1516430,51.542542000000000,-2.574935000000000,BS32 4UA,
1516431,51.541142000000000,-2.567038966386390,BS32 4UB,
1516432,51.538815000000000,-2.574023000000000,BS32 4UD,
1516433,51.537536814642300,-2.574078621159500,BS32 4UE,
1516434,51.538006056714200,-2.575569613722270,BS32 4UF,
1516438,51.533489715508200,-2.570711000000000,BS32 4WA,
1516439,51.533489715508200,-2.570711000000000,BS32 4WE,
1516442,51.533489715508200,-2.570711000000000,BS32 4WP,
1516443,51.533489715508200,-2.570711000000000,BS32 4WR,
1516449,51.533489715508200,-2.570711000000000,BS32 4XL,
1516454,51.533489715508200,-2.570711000000000,BS32 4YX,
1516457,51.533041036940600,-2.549686588510020,BS32 8AB,
1516458,51.523225592845300,-2.547060373523850,BS32 8AD,
1516459,51.524189957105300,-2.548354000000000,BS32 8AE,
1516460,51.522570427938500,-2.548724476482380,BS32 8AF,
1516461,51.523710937691200,-2.549026466638730,BS32 8AG,
1516462,51.523508931056300,-2.548000662067270,BS32 8AH,
1516463,51.524642876535100,-2.547783654840510,BS32 8AJ,
1516464,51.523978495561700,-2.545642426890550,BS32 8AL,
1516465,51.524171595609500,-2.544722244547190,BS32 8AN,Tesco Express
1516466,51.523213510066800,-2.536048220626500,BS32 8AP,
1516467,51.522584427715700,-2.549734000000000,BS32 8AQ,
1516468,51.522513460813200,-2.535766142679210,BS32 8AR,
1516469,51.523318306509800,-2.538687150354460,BS32 8AS,
1516470,51.524472208413100,-2.534102700869080,BS32 8AT,
1516471,51.523754238107200,-2.533806021413460,BS32 8AU,
1516472,51.523636747476400,-2.535909054951660,BS32 8AW,
1516473,51.525236015238100,-2.543985409750210,BS32 8AX,
1516474,51.525011650848400,-2.536083758808680,BS32 8AY,
1516475,51.524984875423200,-2.536040201696450,BS32 8AZ,
1516476,51.526978676597800,-2.546283727058550,BS32 8BA,
1516477,51.526845675030900,-2.543946941607150,BS32 8BB,
1516478,51.527686451698400,-2.541016297959090,BS32 8BD,
1516479,51.528131795269000,-2.539983686185240,BS32 8BE,
1516480,51.525403368245800,-2.546668467786520,BS32 8BG,
1516481,51.524800104206200,-2.539079410802680,BS32 8BH,
1516482,51.526428107644800,-2.540914889475760,BS32 8BJ,
1516483,51.525913757015800,-2.541312397227380,BS32 8BL,
1516484,51.526736002391800,-2.542388842623910,BS32 8BN,
1516485,51.527958114167800,-2.542547522172100,BS32 8BP,
1516486,51.535871363375100,-2.548365000000000,BS32 8BS,
1516489,51.530726063716900,-2.552484230893770,BS32 8BY,
1516490,51.526180299304800,-2.538101112760290,BS32 8DA,
1516491,51.525864282767900,-2.536425308814960,BS32 8DB,
1516492,51.531572941324400,-2.544435794065510,BS32 8DD,
1516493,51.526741180011600,-2.537358161286680,BS32 8DE,
1516494,51.526262260649800,-2.535911062695160,BS32 8DF,
1516495,51.525618460904200,-2.535125124699370,BS32 8DG,
1516496,51.522377936240900,-2.531959425770740,BS32 8DH,
1516497,51.524288910720200,-2.542691276106600,BS32 8DJ,
1516498,51.530995173279400,-2.544933461747680,BS32 8DL,
1516499,51.523514816128100,-2.540923596328470,BS32 8DN,
1516500,51.524174616036100,-2.540181893591830,BS32 8DP,
1516501,51.523364333917100,-2.532547471327380,BS32 8DQ,
1516502,51.527065334413000,-2.543113499584020,BS32 8DR,
1516503,51.531355785147900,-2.554322714693770,BS32 8DS,
1516504,51.531138995599700,-2.548798702225740,BS32 8DT,
1516505,51.529441098317300,-2.542680482509660,BS32 8DU,
1516506,51.529969766419400,-2.543075996568380,BS32 8DW,
1516507,51.529065653399000,-2.544146394782760,BS32 8DX,
1516508,51.528313841624200,-2.545333892670480,BS32 8DY,
1516509,51.528402524602900,-2.543662782141000,BS32 8DZ,
1516510,51.529193563488400,-2.549496076164020,BS32 8EA,
1516511,51.530226842702700,-2.551569987091780,BS32 8EB,
1516512,51.530352322100500,-2.549740687102100,BS32 8ED,
1516513,51.529719293654400,-2.548594220342470,BS32 8EE,
1516514,51.535424000000000,-2.547884000000000,BS32 8EF,KFC
1516515,51.529590514775800,-2.551129824687500,BS32 8EG,
1516516,51.532102112082100,-2.548579625701650,BS32 8EH,
1516517,51.525644399197000,-2.539276772732690,BS32 8EJ,
1516518,51.530576625111600,-2.545995242558740,BS32 8EL,
1516519,51.530609873190900,-2.554241571537590,BS32 8EN,
1516520,51.531569383174000,-2.552883683287490,BS32 8EP,
1516521,51.531992911326800,-2.552686986672350,BS32 8EQ,
1516522,51.531815209077100,-2.548403179484090,BS32 8ER,
1516523,51.530416990282400,-2.547449338000510,BS32 8ES,
1516524,51.530354466034900,-2.545430364414300,BS32 8ET,
1516525,51.548584405412200,-2.571001687919650,BS32 4AG,
1516526,51.541459249369800,-2.566240583757000,BS32 4AH,
1516527,51.540202047214400,-2.567767807535730,BS32 4AJ,
1516528,51.540422798656600,-2.570452503608910,BS32 4AN,
1516529,51.545310000000000,-2.571566000000000,BS32 4AQ,
1516530,51.540368571302800,-2.572355141022680,BS32 4AR,
1516531,51.546324040422900,-2.562538000000000,BS32 4AS,
1516532,51.546802980412700,-2.561922934034300,BS32 4AT,
1516533,51.546618036380300,-2.561113077156540,BS32 4AU,
1516535,51.545825731840800,-2.563208760523260,BS32 4AX,
